query_id,knowledge_id
2012247417,2010002941
2012247417,2012205753
2012247417,2011237776
2012247417,2010164958
2012247417,2011253307
2012247417,2012220873
2012247417,2011238596
2012247417,2010058311
2012247417,2010019680
2012247417,2010017384
2013129832,2011122015
2013129832,2011219755
2013129832,2010013354
2013129832,2011238596
2013129832,2010164958
2013129832,2010027631
2013129832,2011132392
2013129832,2011233519
2013129832,2010017082
2013129832,2010018640
2014142390,2011237776
2014142390,2011112727
2014142390,2011128844
2014142390,2010051953
2014142390,2011253307
2014142390,2010083151
2014142390,2010167563
2014142390,2012205753
2014142390,2010081948
2014142390,2010002181
2014159137,2010081948
2014159137,2011106202
2014159137,2011237776
2014159137,2012220873
2014159137,2010001897
2014159137,2010017384
2014159137,2011253307
2014159137,2012205753
2014159137,2012222762
2014159137,2010018640
2013197100,2011233519
2013197100,2010027631
2013197100,2011248198
2013197100,2011132392
2013197100,2010051953
2013197100,2011238596
2013197100,2010164958
2013197100,2010058311
2013197100,2012218196
2013197100,2010001570
2014006882,2011253307
2014006882,2010019680
2014006882,2012205753
2014006882,2010017384
2014006882,2010028151
2014006882,2012222762
2014006882,2010002941
2014006882,2010081947
2014006882,2012198266
2014006882,2011237776
2014191217,2012222762
2014191217,2011253307
2014191217,2010081948
2014191217,2011237776
2014191217,2010017384
2014191217,2011112727
2014191217,2012205753
2014191217,2010167563
2014191217,2010167562
2014191217,2010081947
2014189534,2010164958
2014189534,2010013354
2014189534,2010027631
2014189534,2010017384
2014189534,2012222762
2014189534,2011106202
2014189534,2010081948
2014189534,2011128844
2014189534,2012198266
2014189534,2011122015
2014208732,2010164958
2014208732,2011233519
2014208732,2011132392
2014208732,2011238596
2014208732,2010027631
2014208732,2011112727
2014208732,2012218196
2014208732,2010018640
2014208732,2011122015
2014208732,2011219755
2014216089,2010164958
2014216089,2010058311
2014216089,2012218196
2014216089,2010018640
2014216089,2011233519
2014216089,2011106202
2014216089,2010051953
2014216089,2011219755
2014216089,2011132392
2014216089,2011238596
2014214500,2011253307
2014214500,2011106202
2014214500,2010051953
2014214500,2010081948
2014214500,2012218196
2014214500,2011237776
2014214500,2012222762
2014214500,2012206555
2014214500,2010017384
2014214500,2010027631
2014219566,2011128844
2014219566,2011112727
2014219566,2010167563
2014219566,2010167562
2014219566,2010058311
2014219566,2010017384
2014219566,2011237776
2014219566,2012222762
2014219566,2011106202
2014219566,2011253307
2014218185,2012205753
2014218185,2010083151
2014218185,2012206555
2014218185,2010081948
2014218185,2012220873
2014218185,2012222762
2014218185,2010017384
2014218185,2011106202
2014218185,2011237776
2014218185,2010027631
2014222336,2011106202
2014222336,2010018640
2014222336,2010164958
2014222336,2012220873
2014222336,2010051953
2014222336,2011253307
2014222336,2011122015
2014222336,2010001897
2014222336,2011233519
2014222336,2010017384
2015002401,2010081948
2015002401,2011237776
2015002401,2012205753
2015002401,2010167562
2015002401,2010019680
2015002401,2011253307
2015002401,2010002941
2015002401,2012222762
2015002401,2011112727
2015002401,2010065709
2015006267,2011106202
2015006267,2011122015
2015006267,2011237776
2015006267,2010081947
2015006267,2012206555
2015006267,2010081948
2015006267,2010167562
2015006267,2012220873
2015006267,2011132392
2015006267,2012218196
2015012932,2010017384
2015012932,2011106202
2015012932,2011112727
2015012932,2010167563
2015012932,2010167562
2015012932,2012205753
2015012932,2010002181
2015012932,2010065709
2015012932,2012206555
2015012932,2011237776
2015004119,2011112727
2015004119,2011106202
2015004119,2010083151
2015004119,2010167563
2015004119,2010167562
2015004119,2010065709
2015004119,2011233519
2015004119,2012206555
2015004119,2010058311
2015004119,2011248198
