query_id,gold_count,hit_at_k,best_rank,mrr,topk_returned
2012247417,1,1,9,0.1111111111111111,10
2013129832,1,1,2,0.5,10
2014142390,1,1,1,1.0,10
2014159137,4,0,,0.0,10
2013197100,1,1,1,1.0,10
2014006882,1,0,,0.0,10
2014191217,2,1,2,0.5,10
2014189534,1,1,1,1.0,10
2014208732,1,1,3,0.3333333333333333,10
2014216089,1,1,10,0.1,10
2014214500,1,1,2,0.5,10
2014219566,1,1,2,0.5,10
2014218185,1,1,3,0.3333333333333333,10
2014222336,1,1,4,0.25,10
2015002401,1,1,8,0.125,10
2015006267,1,0,,0.0,10
2015012932,1,1,1,1.0,10
2015004119,2,0,,0.0,10
